"subjectid" "activitylabel" "atbodyaccmeanx" "atbodyaccmeany" "atbodyaccmeanz" "atgravityaccmeanx" "atgravityaccmeany" "atgravityaccmeanz" "atbodyaccjerkmeanx" "atbodyaccjerkmeany" "atbodyaccjerkmeanz" "atbodygyromeanx" "atbodygyromeany" "atbodygyromeanz" "atbodygyrojerkmeanx" "atbodygyrojerkmeany" "atbodygyrojerkmeanz" "atbodyaccmagmean" "atgravityaccmagmean" "atbodyaccjerkmagmean" "atbodygyromagmean" "atbodygyrojerkmagmean" "afbodyaccmeanx" "afbodyaccmeany" "afbodyaccmeanz" "afbodyaccmeanfreqx" "afbodyaccmeanfreqy" "afbodyaccmeanfreqz" "afbodyaccjerkmeanx" "afbodyaccjerkmeany" "afbodyaccjerkmeanz" "afbodyaccjerkmeanfreqx" "afbodyaccjerkmeanfreqy" "afbodyaccjerkmeanfreqz" "afbodygyromeanx" "afbodygyromeany" "afbodygyromeanz" "afbodygyromeanfreqx" "afbodygyromeanfreqy" "afbodygyromeanfreqz" "afbodyaccmagmean" "afbodyaccmagmeanfreq" "afbodybodyaccjerkmagmean" "afbodybodyaccjerkmagmeanfreq" "afbodybodygyromagmean" "afbodybodygyromagmeanfreq" "afbodybodygyrojerkmagmean" "afbodybodygyrojerkmagmeanfreq" "atbodyaccstdx" "atbodyaccstdy" "atbodyaccstdz" "atgravityaccstdx" "atgravityaccstdy" "atgravityaccstdz" "atbodyaccjerkstdx" "atbodyaccjerkstdy" "atbodyaccjerkstdz" "atbodygyrostdx" "atbodygyrostdy" "atbodygyrostdz" "atbodygyrojerkstdx" "atbodygyrojerkstdy" "atbodygyrojerkstdz" "atbodyaccmagstd" "atgravityaccmagstd" "atbodyaccjerkmagstd" "atbodygyromagstd" "atbodygyrojerkmagstd" "afbodyaccstdx" "afbodyaccstdy" "afbodyaccstdz" "afbodyaccjerkstdx" "afbodyaccjerkstdy" "afbodyaccjerkstdz" "afbodygyrostdx" "afbodygyrostdy" "afbodygyrostdz" "afbodyaccmagstd" "afbodybodyaccjerkmagstd" "afbodybodygyromagstd" "afbodybodygyrojerkmagstd"
"1" 1 "LAYING" 0.22159 -0.04051 -0.1132 -0.24888 0.70554 0.44581 0.08108 0.00383 0.01083 -0.01655 -0.06448 0.14868 -0.10727 -0.04151 -0.07405 -0.84192 -0.84192 -0.95439 -0.87475 -0.96346 -0.93909 -0.86706 -0.88266 -0.15879 0.09753 0.08943 -0.95707 -0.92246 -0.94806 0.13241 0.02451 0.02438 -0.85024 -0.95219 -0.9093 -0.00354 -0.09152 0.01045 -0.86176 0.0864 -0.9333 0.26639 -0.86219 -0.13977 -0.94236 0.17648 -0.92805 -0.83682 -0.82606 -0.89683 -0.90772 -0.85236 -0.95848 -0.92414 -0.95485 -0.87354 -0.95109 -0.90828 -0.9186 -0.9679 -0.95779 -0.79514 -0.79514 -0.92824 -0.81901 -0.93584 -0.92443 -0.83362 -0.81289 -0.96416 -0.93221 -0.96058 -0.88229 -0.95123 -0.91658 -0.7983 -0.9218 -0.82431 -0.93266
"2" 1 "SITTING" 0.26123 -0.0013 -0.10454 0.8315 0.20441 0.33204 0.07748 -0.00061 -0.00336 -0.04535 -0.09192 0.06293 -0.09367 -0.04021 -0.0467 -0.94853 -0.94853 -0.98736 -0.93089 -0.99197 -0.97964 -0.94408 -0.95918 -0.04951 0.07594 0.23882 -0.98659 -0.98157 -0.98605 0.25661 0.04754 0.09239 -0.97616 -0.97583 -0.95131 0.18915 0.06312 -0.02978 -0.94778 0.23665 -0.98526 0.35185 -0.95843 -0.00026 -0.98979 0.18477 -0.97722 -0.92261 -0.93958 -0.96845 -0.93551 -0.94904 -0.98643 -0.98137 -0.98791 -0.97721 -0.96647 -0.94142 -0.99173 -0.98951 -0.98793 -0.92707 -0.92707 -0.98412 -0.93453 -0.9883 -0.97641 -0.91727 -0.93446 -0.98749 -0.98251 -0.98833 -0.9779 -0.96234 -0.94391 -0.92844 -0.9816 -0.93219 -0.98704
"3" 1 "STANDING" 0.27891 -0.01613 -0.1106 0.94295 -0.27298 0.01349 0.07537 0.00797 -0.00368 -0.02398 -0.05939 0.0748 -0.0996 -0.04406 -0.04895 -0.98427 -0.98427 -0.99236 -0.97649 -0.99496 -0.99524 -0.97707 -0.98529 0.08651 0.11747 0.24485 -0.99463 -0.98541 -0.99075 0.31418 0.03916 0.13858 -0.98638 -0.98898 -0.98077 -0.12029 -0.04471 0.1006 -0.98535 0.28455 -0.99254 0.42222 -0.98461 -0.0286 -0.99481 0.33449 -0.99575 -0.97319 -0.97977 -0.99376 -0.98122 -0.97632 -0.9946 -0.98564 -0.99225 -0.98719 -0.98773 -0.98064 -0.99294 -0.99513 -0.9921 -0.98194 -0.98194 -0.99309 -0.97869 -0.99473 -0.99602 -0.97229 -0.97793 -0.99507 -0.98701 -0.99234 -0.98749 -0.9871 -0.98234 -0.98231 -0.99253 -0.97846 -0.99467
"4" 1 "WALKING" 0.27733 -0.01738 -0.11114 0.93522 -0.28216 -0.0681 0.07404 0.02827 -0.00416 -0.04183 -0.06953 0.08494 -0.08999 -0.03984 -0.04613 -0.13697 -0.13697 -0.14142 -0.16097 -0.2987 -0.20279 0.08971 -0.33156 -0.20754 0.11309 0.04972 -0.17054 -0.03522 -0.46899 -0.20926 -0.38623 -0.18553 -0.33903 -0.10305 -0.25594 0.01478 -0.06577 0.00077 -0.12862 0.19064 -0.05711 0.09382 -0.19925 0.26884 -0.3193 0.19066 -0.28374 0.11446 -0.26002 -0.9766 -0.9713 -0.94771 -0.11361 0.067 -0.50269 -0.47353 -0.0546 -0.34426 -0.20742 -0.30446 -0.40425 -0.21968 -0.21968 -0.07447 -0.18697 -0.32532 -0.31913 0.05604 -0.27968 -0.13358 0.10673 -0.53471 -0.51669 -0.0335 -0.43656 -0.39803 -0.10349 -0.32101 -0.3816
"5" 1 "WALKING_DOWNSTAIRS" 0.28918 -0.00991 -0.10756 0.93187 -0.26661 -0.06211 0.05415 0.02965 -0.01097 -0.03507 -0.09093 0.09008 -0.07395 -0.04399 -0.02704 0.02718 0.02718 -0.08944 -0.07574 -0.29546 0.03822 0.00154 -0.22557 -0.30739 0.06322 0.29432 -0.02766 -0.12866 -0.28833 -0.25316 -0.33758 0.00937 -0.35244 -0.0557 -0.03186 -0.10045 0.08255 -0.07567 0.09658 0.11918 0.02621 0.07649 -0.18572 0.34961 -0.28196 0.19 0.03003 -0.03193 -0.23043 -0.95055 -0.93701 -0.89593 -0.01228 -0.1016 -0.34573 -0.45803 -0.12634 -0.1247 -0.48702 -0.23882 -0.26876 0.01988 0.01988 -0.02578 -0.22572 -0.30651 0.02433 -0.11296 -0.29792 -0.08632 -0.13458 -0.40172 -0.49542 -0.18141 -0.23844 -0.18653 -0.10405 -0.39835 -0.39191
"6" 1 "WALKING_UPSTAIRS" 0.25546 -0.02395 -0.0973 0.89335 -0.36215 -0.0754 0.10137 0.01948 -0.04556 0.05054 -0.16617 0.05835 -0.12223 -0.04214 -0.04071 -0.12992 -0.12992 -0.4665 -0.12673 -0.59488 -0.40432 -0.19097 -0.43334 -0.41873 -0.16069 -0.52011 -0.47987 -0.41344 -0.68547 -0.37702 -0.50949 -0.5511 -0.49261 -0.31947 -0.45359 -0.18745 -0.47357 -0.13337 -0.35239 -0.09774 -0.44265 0.08535 -0.32596 -0.2193 -0.63466 0.11427 -0.3547 -0.00232 -0.01947 -0.95636 -0.95284 -0.91237 -0.44684 -0.37827 -0.70659 -0.54487 0.0041 -0.50716 -0.61478 -0.60169 -0.60633 -0.32497 -0.32497 -0.47899 -0.14861 -0.64855 -0.33742 0.02176 0.08595 -0.4619 -0.38177 -0.72604 -0.56589 0.15153 -0.5717 -0.41626 -0.53305 -0.18298 -0.69393
"7" 2 "LAYING" 0.28137 -0.01815 -0.10724 -0.50975 0.75253 0.64683 0.08259 0.01225 -0.0018 -0.01847 -0.1118 0.14488 -0.10197 -0.03585 -0.07017 -0.97743 -0.97743 -0.98774 -0.95001 -0.99176 -0.97672 -0.9798 -0.98438 -0.14648 0.25728 0.40253 -0.98581 -0.98276 -0.98619 0.1598 0.1212 0.19055 -0.98643 -0.98332 -0.96267 0.10261 0.04228 0.05529 -0.97511 0.26629 -0.98537 0.34175 -0.97211 0.01856 -0.99024 0.2648 -0.97405 -0.98027 -0.98423 -0.95901 -0.98821 -0.98423 -0.98587 -0.98317 -0.98844 -0.98827 -0.98229 -0.9603 -0.99323 -0.98956 -0.98803 -0.97287 -0.97287 -0.98551 -0.96116 -0.98971 -0.97324 -0.98102 -0.98479 -0.98725 -0.98498 -0.98934 -0.98886 -0.98191 -0.96317 -0.97512 -0.98456 -0.96109 -0.98949
"8" 2 "SITTING" 0.27708 -0.01568 -0.10921 0.94047 -0.10563 0.19872 0.07225 0.01169 0.0076 -0.04547 -0.05992 0.04122 -0.09363 -0.04156 -0.04358 -0.96789 -0.96789 -0.98677 -0.94603 -0.99108 -0.9858 -0.95734 -0.97016 0.08519 0.15019 0.09606 -0.98784 -0.97713 -0.98512 0.30554 0.02624 0.0929 -0.98262 -0.9821 -0.95981 0.13052 -0.19214 0.04094 -0.96127 0.13093 -0.98387 0.28006 -0.97184 -0.10635 -0.98986 0.19472 -0.98682 -0.9507 -0.95982 -0.97998 -0.95675 -0.95441 -0.98805 -0.97798 -0.98751 -0.98574 -0.97891 -0.9598 -0.9897 -0.99088 -0.98554 -0.95308 -0.95308 -0.98447 -0.96131 -0.98959 -0.98736 -0.95007 -0.95686 -0.98945 -0.9808 -0.98857 -0.9868 -0.97735 -0.96352 -0.95557 -0.98412 -0.96138 -0.98963
"9" 2 "STANDING" 0.27791 -0.01842 -0.1059 0.89692 -0.37006 0.12974 0.07475 0.01032 -0.00837 -0.02386 -0.08203 0.08783 -0.10556 -0.04224 -0.05465 -0.96587 -0.96587 -0.98048 -0.96346 -0.98395 -0.98394 -0.95987 -0.96247 0.10851 0.06233 0.10446 -0.98097 -0.97085 -0.97977 0.33144 -0.05693 0.03964 -0.96703 -0.97257 -0.96062 -0.10741 -0.17116 0.00022 -0.96405 0.11964 -0.97706 0.30487 -0.96177 -0.06612 -0.97784 0.16066 -0.98727 -0.9573 -0.94974 -0.98668 -0.97419 -0.94592 -0.98108 -0.97105 -0.98284 -0.97299 -0.97144 -0.96485 -0.97932 -0.98344 -0.97361 -0.95787 -0.95787 -0.97667 -0.95394 -0.9772 -0.98905 -0.9579 -0.94643 -0.983 -0.97352 -0.98459 -0.97498 -0.97103 -0.96975 -0.96051 -0.97516 -0.95678 -0.97775
"10" 2 "WALKING" 0.27642 -0.01859 -0.1055 0.91301 -0.3466 0.08472 0.0618 0.01824 0.00789 -0.05302 -0.04823 0.08283 -0.08188 -0.05382 -0.05149 -0.2904 -0.2904 -0.28142 -0.44654 -0.54791 -0.34604 -0.0219 -0.4538 -0.14579 0.19858 0.06889 -0.30461 -0.07876 -0.55495 -0.07271 -0.26357 -0.25484 -0.42971 -0.55477 -0.39665 0.00727 -0.0427 0.13975 -0.32428 0.3932 -0.16906 0.2075 -0.5307 0.30528 -0.58324 0.12634 -0.42364 -0.07809 -0.42525 -0.97269 -0.97211 -0.97207 -0.27753 -0.0166 -0.58609 -0.56155 -0.53845 -0.48108 -0.38954 -0.63414 -0.43549 -0.42254 -0.42254 -0.16415 -0.55301 -0.55779 -0.45765 -0.16921 -0.45522 -0.31431 -0.01533 -0.61589 -0.60405 -0.53304 -0.55985 -0.5771 -0.16409 -0.65179 -0.5581
